,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
SSES * SRPS,-0.4,0.03,-0.45,-0.34,1,28821,24461
SSES * Spite,0.08,0.03,0.02,0.14,1,29546,24379
SRPS * Spite,-0.16,0.03,-0.23,-0.1,1,30472,25141
SSES * SJS,0.23,0.03,0.17,0.29,1,28233,23518
SRPS * SJS,-0.27,0.03,-0.33,-0.21,1,34797,24195
Spite * SJS,0.19,0.03,0.12,0.25,1,36435,23486
SSES * Dominance,-0.2,0.03,-0.26,-0.14,1,25794,24064
SRPS * Dominance,0.07,0.03,0,0.13,1,27316,24073
Spite * Dominance,0.5,0.02,0.45,0.54,1,26430,24379
SJS * Dominance,0.25,0.03,0.19,0.31,1,36485,24237
SSES * Prestige,-0.07,0.03,-0.13,0,1,31014,24600
SRPS * Prestige,0.27,0.03,0.21,0.33,1,30963,23675
Spite * Prestige,0.06,0.03,0,0.13,1,30694,23491
SJS * Prestige,-0.01,0.03,-0.08,0.05,1,37288,24187
Dominance * Prestige,0.19,0.03,0.12,0.25,1,32537,23360
SSES * Leadership,-0.29,0.03,-0.35,-0.23,1,28423,23044
SRPS * Leadership,0.3,0.03,0.24,0.36,1,30880,25167
Spite * Leadership,-0.03,0.03,-0.09,0.04,1,32303,24547
SJS * Leadership,-0.08,0.03,-0.15,-0.02,1,32491,24009
Dominance * Leadership,0.31,0.03,0.25,0.36,1,31450,24310
Prestige * Leadership,0.37,0.03,0.31,0.42,1,33574,24275
